DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;QT_VOTOS_LEGENDA
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;67130;MOGI DAS CRUZES;67130;MOGI DAS CRUZES;287;13;Vereador;Partido isolado;80;UP;Unidade Popular;2,5E+11;PARTIDO ISOLADO;UP;N;155;8
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;6;13;Vereador;Partido isolado;77;SOLIDARIEDADE;Solidariedade;2,5E+11;PARTIDO ISOLADO;SOLIDARIEDADE;N;236;18
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;69671;RIBEIRÃO PIRES;69671;RIBEIRÃO PIRES;382;13;Vereador;Partido isolado;90;PROS;Partido Republicano da Ordem Social;2,5E+11;PARTIDO ISOLADO;PROS;N;268;6
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;65650;ITARARÉ;65650;ITARARÉ;57;11;Prefeito;Coligação;10;REPUBLICANOS;REPUBLICANOS;2,5E+11;A FORÇA DO POVO;PL / PODE / REPUBLICANOS;N;6162;0
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;64777;GUARULHOS;64777;GUARULHOS;279;11;Prefeito;Partido isolado;12;PDT;Partido Democrático Trabalhista;2,5E+11;PARTIDO ISOLADO;PDT;N;1163;0
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;70777;SÃO CAETANO DO SUL;70777;SÃO CAETANO DO SUL;269;11;Prefeito;Partido isolado;13;PT;Partido dos Trabalhadores;2,5E+11;PARTIDO ISOLADO;PT;N;898;0
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;328;11;Prefeito;Partido isolado;16;PSTU;Partido Socialista dos Trabalhadores Unificado;2,5E+11;PARTIDO ISOLADO;PSTU;N;91;0
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;61808;PONTALINDA;61808;PONTALINDA;152;11;Prefeito;Coligação;25;DEM;Democratas;2,5E+11;HONESTIDADE, TRABALHO E TRANSPARENCIA;DEM / MDB / PSDB;N;716;0
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71218;SÃO VICENTE;71218;SÃO VICENTE;177;11;Prefeito;Partido isolado;45;PSDB;Partido da Social Democracia Brasileira;2,5E+11;PARTIDO ISOLADO;PSDB;N;26392;0
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62138;BARUERI;62138;BARUERI;386;11;Prefeito;Partido isolado;50;PSOL;Partido Socialismo e Liberdade;2,5E+11;PARTIDO ISOLADO;PSOL;N;1022;0
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;63290;CERQUEIRA CÉSAR;63290;CERQUEIRA CÉSAR;205;11;Prefeito;Coligação;55;PSD;Partido Social Democrático;2,5E+11;SERIEDADE E COMPETÊNCIA ;PSD / PSDB;N;2712;0
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;404;11;Prefeito;Partido isolado;55;PSD;Partido Social Democrático;2,5E+11;PARTIDO ISOLADO;PSD;N;1331;0
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62910;CAMPINAS;62910;CAMPINAS;33;11;Prefeito;Partido isolado;65;PC do B;Partido Comunista do Brasil;2,5E+11;PARTIDO ISOLADO;PC do B;N;892;0
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71455;SOROCABA;71455;SOROCABA;271;11;Prefeito;Partido isolado;77;SOLIDARIEDADE;Solidariedade;2,5E+11;PARTIDO ISOLADO;SOLIDARIEDADE;N;301;0
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62910;CAMPINAS;62910;CAMPINAS;423;13;Vereador;Partido isolado;11;PP;PROGRESSISTAS;2,5E+11;PARTIDO ISOLADO;PP;N;1556;37
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;68756;PIRACICABA;68756;PIRACICABA;93;13;Vereador;Partido isolado;11;PP;PROGRESSISTAS;2,5E+11;PARTIDO ISOLADO;PP;N;1368;117
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;67890;OSASCO;67890;OSASCO;332;13;Vereador;Partido isolado;12;PDT;Partido Democrático Trabalhista;2,5E+11;PARTIDO ISOLADO;PDT;N;1886;62
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62936;CAMPO LIMPO PAULISTA;62936;CAMPO LIMPO PAULISTA;344;13;Vereador;Partido isolado;13;PT;Partido dos Trabalhadores;2,5E+11;PARTIDO ISOLADO;PT;N;1067;190
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;61441;SALTINHO;61441;SALTINHO;270;13;Vereador;Partido isolado;14;PTB;Partido Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PTB;N;872;87
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;66397;LIMEIRA;66397;LIMEIRA;399;13;Vereador;Partido isolado;14;PTB;Partido Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PTB;N;1369;55
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;389;13;Vereador;Partido isolado;16;PSTU;Partido Socialista dos Trabalhadores Unificado;2,5E+11;PARTIDO ISOLADO;PSTU;N;55;33
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;64254;FRANCA;64254;FRANCA;291;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;4364;47
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;65650;ITARARÉ;65650;ITARARÉ;57;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;3288;60
